sample_id,crop_path,dataset,unified_label,lane,quality_flags,blur_var,mean_brightness,contrast_std,width,height,rejection_reason,human_verdict,human_note
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0052_png.rf.9198cc8f93df61ad58be557c14672afc.jpg#0,roboflow_wallpaper_kr/ablation/-0052_png.rf.9198cc8f93df61ad58be557c14672afc_0.jpg,roboflow_wallpaper_kr,finish_damage,ablation,blur;low_contrast,1.69,150.49,2.6,128,128,quality_outlier:blur;low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/우수/RGB/S-211116_A_C_1_R_9636002-12.jpg#0,aihub_567/review_only/S-211116_A_C_1_R_9636002-12_0.jpg,aihub_567,crack,review_only,,1324.66,149.93,69.27,1080,1080,legacy_annotation_error,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/우수/RGB/S-211116_A_C_1_R_9636017-4.jpg#0,aihub_567/review_only/S-211116_A_C_1_R_9636017-4_0.jpg,aihub_567,crack,review_only,,2286.15,145.62,61.11,1080,1080,legacy_annotation_error,,
"aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(박리, 박락)/우수/RGB/S-211223_A_P_1_R_2254028-9.jpg#0",aihub_567/review_only/S-211223_A_P_1_R_2254028-9_0.jpg,aihub_567,breakage,review_only,,256.16,158.43,59.96,1080,1080,legacy_annotation_error,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/External-defects_jpg.rf.56a28ba7d2528d5f9bc6037d0b4851d5.jpg#1,roboflow_wall_defects/lineage_a7/External-defects_jpg.rf.56a28ba7d2528d5f9bc6037d0b4851d5_1.jpg,roboflow_wall_defects,moisture_leak,lineage_a7,dark,2305.31,91.51,45.57,210,210,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/곰팡이/63.png#0,data/raw/dacon_wallpaper/open/train/곰팡이/63.png,dacon_wallpaper,mold,baseline,blur,3.64,165.02,18.7,1017,595,quality_outlier:blur,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/water-000_jpg.rf.be58ce8c8f85a68e9aa446f88f812e8c.jpg#3,roboflow_wall_defects/ablation/water-000_jpg.rf.be58ce8c8f85a68e9aa446f88f812e8c_3.jpg,roboflow_wall_defects,stain_corrosion,ablation,blur,4.39,144.64,7.16,128,128,quality_outlier:blur,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/water-000_jpg.rf.2fdc1a8fe7112e77b50768141e6cc1fd.jpg#1,roboflow_wall_defects/ablation/water-000_jpg.rf.2fdc1a8fe7112e77b50768141e6cc1fd_1.jpg,roboflow_wall_defects,stain_corrosion,ablation,blur;low_contrast,1.98,143.28,5.34,128,128,quality_outlier:blur;low_contrast,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/들뜸/23.png#0,data/raw/dacon_wallpaper/open/train/들뜸/23.png,dacon_wallpaper,lifting,baseline,blur,3.47,161.17,16.22,621,599,quality_outlier:blur,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/pU8WmSy8vdaX4mqYhapTrW_jpg.rf.73493c2d5206896ae547b18587fff3dc.jpg#2,roboflow_wall_defects/lineage_a7/pU8WmSy8vdaX4mqYhapTrW_jpg.rf.73493c2d5206896ae547b18587fff3dc_2.jpg,roboflow_wall_defects,moisture_leak,lineage_a7,low_contrast,161.34,232.17,7.15,186,186,quality_outlier:low_contrast,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/water-000_jpg.rf.82d956d1b8880b4f2c008d24b136e5ca.jpg#1,roboflow_wall_defects/ablation/water-000_jpg.rf.82d956d1b8880b4f2c008d24b136e5ca_1.jpg,roboflow_wall_defects,stain_corrosion,ablation,blur;low_contrast,2.18,143.56,5.41,128,128,quality_outlier:blur;low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/우수/RGB/S-211116_A_X_1_R_9636043-29.jpg#0,aihub_567/review_only/S-211116_A_X_1_R_9636043-29_0.jpg,aihub_567,breakage,review_only,,2032.78,131.69,57.67,1080,1080,legacy_annotation_error,,
"aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(박리, 박락)/우수/RGB/S-211123_A_P_1_R_96362268-11.jpg#0",aihub_567/review_only/S-211123_A_P_1_R_96362268-11_0.jpg,aihub_567,breakage,review_only,blur,47.35,127.15,44.48,1080,1080,legacy_annotation_error,,
roboflow_wall_defects:data/raw/roboflow_wall_defects/train/images/water-000_jpg.rf.be58ce8c8f85a68e9aa446f88f812e8c.jpg#0,roboflow_wall_defects/ablation/water-000_jpg.rf.be58ce8c8f85a68e9aa446f88f812e8c_0.jpg,roboflow_wall_defects,stain_corrosion,ablation,blur,4.5,140.98,7.78,352,352,quality_outlier:blur,,
